episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,steps_survived,food_collected,terminated,truncated,end_reason,environment_steps,optimizer_updates
265,-10.34,0,0.8405425,0.017195632432251133,1.2,35,34,0,True,False,wall,16785,3947
266,-11.540000000000001,0,0.83907,0.023345455980653733,1.2,155,154,0,True,False,wall,16940,3986
267,9.499999999999968,20,0.8385665,0.023136449834475152,1.4,53,52,2,True,False,self,16993,3999
268,-11.05,0,0.8375595,0.030077163194968868,1.4,106,105,0,True,False,wall,17099,4025
269,-10.4,0,0.83717,0.0009810179075099188,1.3,41,40,0,True,False,wall,17140,4036
270,-11.0,0,0.8362105,0.0482502792077139,1.3,101,100,0,True,False,wall,17241,4061
271,-1.7499999999999787,10,0.834529,0.014319230093282054,1.4,177,176,1,True,False,wall,17418,4105
272,-10.77,0,0.833788,0.015204873730544933,1.4,78,77,0,True,False,wall,17496,4125
273,-10.26,0,0.8335315,0.025501350814010948,1.4,27,26,0,True,False,wall,17523,4131
274,-10.57,0,0.8329805,0.01074040315579623,1.4,58,57,0,True,False,wall,17581,4146
275,-10.41,0,0.8325815,0.015575449347670656,1.4,42,41,0,True,False,wall,17623,4156
276,-10.64,0,0.831964,0.035875905587625524,1.4,65,64,0,True,False,wall,17688,4173
277,-10.28,0,0.8316885,0.04319672573391082,1.4,29,28,0,True,False,wall,17717,4180
278,-10.26,0,0.8314320000000001,0.021898710276998048,1.4,27,26,0,True,False,wall,17744,4187
279,-10.370000000000001,0,0.831071,0.03309716783567435,1.4,38,37,0,True,False,wall,17782,4196
280,-11.200000000000001,0,0.8299215,0.010722949798218907,1.4,121,120,0,True,False,wall,17903,4226
281,-11.08,0,0.828886,0.021802736338161464,1.4,109,108,0,True,False,wall,18012,4254
282,-10.81,0,0.828107,0.0378626039790106,1.4,82,81,0,True,False,wall,18094,4274
283,-0.5199999999999889,10,0.8275939999999999,0.011441201528733862,1.5,54,53,1,True,False,wall,18148,4288
284,-10.24,0,0.8273565,0.0501045611842225,1.5,25,24,0,True,False,wall,18173,4294
285,-10.370000000000001,0,0.8269955,0.0010456067975610495,1.5,38,37,0,True,False,wall,18211,4303
286,-11.650000000000002,0,0.8254185,0.007833931389974342,1.5,166,165,0,True,False,wall,18377,4345
287,-10.33,0,0.8250955,0.037463638836925384,1.3,34,33,0,True,False,wall,18411,4353
288,-10.780000000000001,0,0.824345,0.015641233783389906,1.3,79,78,0,True,False,wall,18490,4373
289,-10.700000000000001,0,0.8236705,0.008986229825596739,1.3,71,70,0,True,False,wall,18561,4391
290,-10.88,0,0.822825,0.014166607489724729,1.3,89,88,0,True,False,wall,18650,4413
