policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Heuristic,500000,80,500079,,240,334,333,24,27,21,self,self,False,True,False,0.12574850299401197,226.91000000000116
Heuristic,500000,81,500080,,370,714,713,37,40,25,self,self,False,True,False,0.11204481792717087,353.2400000000041
Heuristic,500000,82,500081,,80,108,107,8,11,7,self,self,False,True,False,0.1388888888888889,69.00999999999989
Heuristic,500000,83,500082,,520,776,775,52,55,33,self,self,False,True,False,0.13015463917525774,502.770000000005
Heuristic,500000,84,500083,,210,310,309,21,24,5,self,self,False,True,False,0.11935483870967742,197.1200000000008
Heuristic,500000,85,500084,,310,480,479,31,34,11,self,self,False,True,False,0.11458333333333333,295.52000000000214
Heuristic,500000,86,500085,,260,402,401,26,29,7,self,self,False,True,False,0.11940298507462686,246.25000000000165
Heuristic,500000,87,500086,,310,454,453,31,34,16,self,self,False,True,False,0.1145374449339207,295.7800000000018
Heuristic,500000,88,500087,,80,108,107,8,11,4,self,self,False,True,False,0.16666666666666666,69.00999999999999
Heuristic,500000,89,500088,,210,296,295,21,24,3,self,self,False,True,False,0.13175675675675674,197.26000000000036
Heuristic,500000,90,500089,,480,893,892,48,51,17,self,self,False,True,False,0.1511758118701008,461.5600000000051
Heuristic,500000,91,500090,,360,560,559,36,39,6,self,self,False,True,False,0.14642857142857144,344.77000000000254
Heuristic,500000,92,500091,,410,557,556,41,44,21,self,self,False,True,False,0.12567324955116696,394.8500000000027
Heuristic,500000,93,500092,,310,485,484,31,34,13,self,self,False,True,False,0.11752577319587629,295.47000000000236
Heuristic,500000,94,500093,,610,1307,1306,61,64,31,self,self,False,True,False,0.1530221882172915,587.5500000000086
Heuristic,500000,95,500094,,210,299,298,21,24,8,self,self,False,True,False,0.14381270903010032,197.23000000000087
Heuristic,500000,96,500095,,320,437,436,32,35,16,wall,wall,False,True,False,0.12356979405034325,305.9600000000019
Heuristic,500000,97,500096,,300,429,428,30,33,5,self,self,False,True,False,0.10955710955710955,286.02000000000123
Heuristic,500000,98,500097,,120,165,164,12,15,7,self,self,False,True,False,0.1393939393939394,108.47999999999966
Heuristic,500000,99,500098,,150,230,229,15,18,13,self,self,False,True,False,0.13043478260869565,137.8599999999999
Heuristic,500000,100,500099,,330,516,515,33,36,24,self,self,False,True,False,0.13372093023255813,315.1800000000027
Classic,500000,1,500000,,150,276,275,15,18,4,self,self,False,True,False,0.605072463768116,137.39999999999964
Classic,500000,2,500001,,390,599,598,39,42,22,self,self,False,True,False,0.6076794657762938,374.4100000000031
Classic,500000,3,500002,,390,655,654,39,42,17,self,self,False,True,False,0.5755725190839694,373.85000000000406
Classic,500000,4,500003,,380,679,678,38,41,9,self,self,False,True,False,0.6509572901325479,363.6000000000034
Classic,500000,5,500004,,170,257,256,17,20,3,self,self,False,True,False,0.6342412451361867,157.6100000000002
Classic,500000,6,500005,,280,393,392,28,31,3,self,self,False,True,False,0.6692111959287532,266.36000000000155
